time,acceleration,velocity
0,0.074886627,0.0074886627
0.1,0.099873119,0.0174759746
0.2,0.124420189,0.0299179935
0.3,0.148611134,0.0447791069
0.4,0.17254353,0.0620334599
0.5,0.196325003,0.0816659602
0.6,0.220068859,0.1036728461
0.7,0.244043647,0.1280772108
0.8,0.268505282,0.154927739
0.9,0.293555827,0.1842833217
1,0.319293192,0.2162126409
1.1,0.3458057,0.2507932109
1.2,0.373166769,0.2881098878
1.3,0.401429691,0.3282528569
1.4,0.430622496,0.3713151065
1.5,0.460742888,0.4173893953
1.6,0.491753261,0.4665647214
1.7,0.52372367,0.5189370884
1.8,0.55673312,0.5746104004
1.9,0.590708562,0.6336812566
2,0.590708562,0.6927521128
2.1,0.625548272,0.75530694
2.2,0.661121841,0.8214191241
2.3,0.697270896,0.8911462137
2.4,0.733810596,0.9645272733
2.5,0.770531951,1.0415804684
2.6,0.807204972,1.1223009656
2.7,0.843582609,1.2066592265
2.8,0.879480842,1.2946073107
2.9,0.914699265,1.3860772372
3,0.94896303,1.4809735402
3.1,0.981996174,1.5791731576
3.2,1.013525846,1.6805257422
3.3,1.043285903,1.7848543325
3.4,1.07101961,1.8919562935
3.5,1.096481195,2.001604413
3.6,1.119436085,2.1135480215
3.7,1.139659667,2.2275139882
3.8,1.157046758,2.343218664
3.9,1.1715766,2.460376324
4,1.183191495,2.5786954735
4.1,1.191854027,2.6978808762
4.2,1.197545064,2.8176353826
4.3,1.200261416,2.9376615242
4.4,1.200013399,3.0576628641
4.5,1.196822601,3.1773451242
4.6,1.190720068,3.296417131
4.7,1.181745093,3.4145916403
4.8,1.169855288,3.5315771691
4.9,1.155038976,3.6470810667
5,1.137395227,3.7608205894
5.1,1.117033964,3.8725239858
5.2,1.094080199,3.9819320057
5.3,1.068678598,4.0887998655
5.4,1.040998128,4.1928996783
5.5,1.011236521,4.2940233304
5.6,0.979624315,4.3919857619
5.7,0.946428254,4.4866285873
5.8,0.911869004,4.5778154877
5.9,0.876197463,4.665435234
6,0.876197463,4.7530549803
6.1,0.839773796,4.8370323599
6.2,0.802970721,4.917329432
6.3,0.766170878,4.9939465198
6.4,0.729762745,5.0669227943
6.5,0.69413529,5.1363363233
6.6,0.659671608,5.2023034841
6.7,0.626741803,5.2649776644
6.8,0.595695394,5.3245472038
6.9,0.566866428,5.3812338466
7,0.540563042,5.4352901508
7.1,0.517062071,5.4869963579
7.2,0.496596976,5.5366560555
7.3,0.479352208,5.5845912763
7.4,0.465458572,5.6311371335
7.5,0.454989662,5.6766360997
7.6,0.447959445,5.7214320442
7.7,0.444321011,5.7658641453
7.8,0.443966507,5.810260796
7.9,0.446757949,5.8549365909
8,0.452550016,5.9001915925
8.1,0.461151486,5.9463067411
8.2,0.472318877,5.9935386288
8.3,0.485764046,6.0421150334
8.4,0.501161916,6.092231225
8.5,0.5181581,6.144047035
8.6,0.536376249,6.1976846599
8.7,0.555424905,6.2532271504
8.8,0.574903695,6.3107175199
8.9,0.574903695,6.3682078894
9,0.594418265,6.4276497159
9.1,0.613600624,6.4890097783
9.2,0.632119544,6.5522217327
9.3,0.649661919,6.6171879246
9.4,0.665935604,6.683781485
9.5,0.680671332,6.7518486182
9.6,0.693623738,6.821210992
9.7,0.704571509,6.8916681429
9.8,0.713316738,6.9629998167
9.9,0.719683559,7.0349681726
10,0.723638881,7.1073320607
