time,acceleration,velocity
0,0.0533440161073456,0.00533440161073456
0.1,0.0637607806521262,0.0117104796759472
0.2,0.0756088308842932,0.0192713627643765
0.3,0.0889780323525324,0.0281691659996297
0.4,0.103946777126034,0.0385638437122331
0.5,0.120579041428614,0.0506217478550945
0.6,0.120579041428614,0.0626796519979559
0.7,0.138921621612132,0.0765718141591691
0.8,0.159001688920456,0.0924719830512147
0.9,0.180824801838302,0.110554463235045
1,0.204373503617681,0.130991813596813
1.1,0.256525617799685,0.156644375376782
1.2,0.285110596477387,0.18515543502452
1.3,0.315262924589223,0.216681727483443
1.4,0.346865562622414,0.251368283745684
1.5,0.379785524329516,0.289346836178636
1.6,0.448982274116278,0.334245063590263
1.7,0.484938166537714,0.382738880244035
1.8,0.521574518826196,0.434896332126654
1.9,0.558717776573485,0.490768109784003
2,0.596312686000419,0.550399378384045
2.1,0.634320841086141,0.613831462492659
2.2,0.67260819232056,0.681092281724715
2.3,0.711043605607199,0.752196642285435
2.4,0.749496721396191,0.827146314425054
2.5,0.787834890030609,0.905929803428115
2.6,0.825919314735799,0.988521734901695
2.7,0.863600575652912,1.07488179246699
2.8,0.900713737523053,1.16495316621929
2.9,0.937073258976302,1.25866049211692
3,1.00719838309192,1.35938033042611
3.1,1.04073224412393,1.46345355483851
3.2,1.07300590992336,1.57075414583084
3.3,1.10381408770114,1.68113555460096
3.4,1.13293261236213,1.79442881583717
3.5,1.16011981515071,1.91044079735224
3.6,1.1851184495494,2.02895264230718
3.7,1.20765804927787,2.14971844723497
3.8,1.22745756924149,2.27246420415912
3.9,1.24427776313947,2.39689198047306
4,1.25795851178075,2.52268783165114
4.1,1.26836170668976,2.64952400232011
4.2,1.27535508638449,2.77705951095856
4.3,1.27881898048196,2.90494140900676
4.4,1.27865203394468,3.03280661240123
4.5,1.27477578002307,3.16028419040353
4.6,1.26713796244566,3.2869979866481
4.7,1.25571454091171,3.41256944073927
4.8,1.24051034905803,3.53662047564507
4.9,1.22159573227313,3.65878004887239
5,1.19909909363821,3.77868995823621
5.1,1.17317965798795,3.896007924035
5.2,1.14402915560908,4.01041083959591
5.3,1.11186839388239,4.12159767898415
5.4,1.0769430811176,4.22929198709591
5.5,1.03951901582329,4.33324388867824
5.6,0.999876772610815,4.43323156593932
5.7,0.95830602850433,4.52906216878975
5.8,0.915099680326463,4.6205721368224
5.9,0.870490997139779,4.70762123653638
6,0.824749512761125,4.79009618781249
6.1,0.778215203952435,4.86791770820773
6.2,0.731213753108255,4.94103908351856
6.3,0.731213753108255,5.01416045882938
6.4,0.684055453222827,5.08256600415167
6.5,0.637034784600479,5.14626948261172
6.6,0.590430739501473,5.20531255656186
6.7,0.544507938766881,5.25976335043855
6.8,0.499518549052755,5.30971520534383
6.9,0.455704972061337,5.35528570254996
7,0.413162122350492,5.39660191478501
7.1,0.371960335457908,5.4337979483308
7.2,0.332284993276817,5.46702644765848
7.3,0.294298715562054,5.49645631921469
7.4,0.258144480943887,5.52227076730908
7.5,0.223948229957509,5.54466559030483
7.6,0.191820833872356,5.56384767369206
7.7,0.161859342883472,5.58003360798041
7.8,0.134147463637664,5.59344835434418
7.9,0.108755257939084,5.60432388013808
8,0.0856776791925018,5.61289164805733
8.1,0.0649140585526009,5.61938305391259
8.2,0.0649140585526009,5.62587445976785
8.3,0.0465281974312859,5.63052727951098
8.4,0.0305609821010666,5.63358337772109
8.5,0.0170289788007949,5.63528627560117
8.6,0.00592298740171415,5.63587857434134
8.7,-0.00279324954896687,5.63559924938644
8.8,-0.00918399022636684,5.63468085036381
8.9,-0.0133419176760086,5.63334665859621
9,-0.0153879077487318,5.63180786782133
9.1,-0.0156043831621755,5.63024742950512
9.2,-0.0142729024240484,5.62882013926271
9.3,-0.0115462849678494,5.62766551076593
9.4,-0.00759948851545289,5.62690556191438
9.5,-0.00262336403755725,5.62664322551062
9.6,0.00318211010978509,5.6269614365216
9.7,0.00961493969112048,5.62792293049072
9.8,0.0164783834476978,5.62957076883549
9.9,0.0235881879672117,5.63192958763221
10,0.0307796035652874,5.63500754798874
10.1,0.0378993281900453,5.63879748080774
10.2,0.0448152735505758,5.6432790081628
10.3,0.0514470254808774,5.64842371071089
10.4,0.0577418802753904,5.65419789873842
10.5,0.0636769554324879,5.66056559428167
10.6,0.0692599235530444,5.66749158663698
10.7,0.0745283237509131,5.67494441901207
10.8,0.0795474435973897,5.68289916337181
10.9,0.0795474435973897,5.69085390773155
11,0.0844068035818069,5.69929458808973
11.1,0.0941859458285332,5.70871318267258
11.2,0.0995435166404324,5.71866753433662
11.3,0.0995435166404324,5.72862188600067
11.4,0.105443106414942,5.73916619664216
11.5,0.11951744968707,5.75111794161087
11.6,0.128004879412487,5.76391842955212
11.7,0.137642748812201,5.77768270443334
11.8,0.148538333059127,5.79253653773925
11.9,0.160766232369394,5.80861316097619
12,0.174362617765427,5.82604942275273
12.1,0.174362617765427,5.84348568452927
12.2,0.189392849188934,5.86242496944817
12.3,0.205907001452186,5.88301566959339
12.4,0.223853283180127,5.9054009979114
12.5,0.243140094187551,5.92971500733015
12.6,0.263639170308707,5.95607892436102
12.7,0.285189962221759,5.9845979205832
12.8,0.30760507788969,6.01535842837217
12.9,0.33067656589238,6.04842608496141
13,0.354182778570813,6.08384436281849
13.1,0.377895531627992,6.12163391598129
13.2,0.401598721064671,6.16179378808776
13.3,0.42507772773984,6.20430156086174
13.4,0.448119448171784,6.24911350567892
13.5,0.470525587262332,6.29616606440515
13.6,0.492116538547007,6.34537771825985
13.7,0.512734047803631,6.39665112304021
