0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
1,0,0,0
1.1,0,0,0
1.2,0,0,0
1.3,0,0,0
1.4,0,0,0
1.5,0,0,0
1.6,0,0,0
1.7,0,0,0
1.8,0,0,0
1.9,0,0,0
2,0,0,0
2.1,0,0,0
2.2,0,0,0
2.3,0,0,0
2.4,0,0,0
2.5,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.9,0,0,0
3,0,0,0
3.1,0,0,0
3.2,0,0,0
3.3,0,0,0
3.4,0,0,0
3.5,0,0,0
3.6,0,0,0
3.7,0,0,0
3.8,0,0,0
3.9,0,0,0
4,0,0,0
4.1,0,0,0
4.2,0,0,0
4.3,0,0,0
4.4,0,0,0
4.5,0,0,0
4.6,0,0,0
4.7,0,0,0
4.8,0,0,0
4.9,0,0,0
5,0,0,0
5.1,0,0,0
5.2,0,0,0
5.3,0,0,0
5.4,0,0,0
5.5,0,0,0
5.6,0,0,0
5.7,0,0,0
5.8,0,0,0
5.9,0,0,0
6,0,0,0
6.1,0,0,0
6.2,0,0,0
6.3,0,0,0
6.4,0,0,0
6.5,0,0,0
6.6,0,0,0
6.7,0,0,0
6.8,0,0,0
6.9,0,0,0
7,0,0,0
7.1,0,0,0
7.2,0,0,0
7.3,0,0,0
7.4,0,0,0
7.5,0,0,0
7.6,0,0,0
7.7,0,0,0
7.8,0,0,0
7.9,0,0,0
8,0,0,0
8.1,0,0,0
8.2,0,0,0
8.3,0,0,0
8.4,0,0,0
8.5,0,0,0
8.6,0,0,0
8.7,0,0,0
8.8,0,0,0
8.9,0,0,0
9,0,0,0
9.1,0,0,0
9.2,0,0,0
9.3,0,0,0
9.4,0,0,0
9.5,0,0,0
9.6,0,0,0
9.7,1.64E-05,0.00016381,1.64E-06
9.8,8.38E-05,0.000674488,1.00E-05
9.9,0.000242339,0.001585093,3.43E-05
10,0.000538002,0.002956628,8.81E-05
10.1,0.0010238,0.004857983,0.000190435
10.2,0.001760347,0.007365466,0.00036647
10.3,0.002816525,0.010561786,0.000648122
10.4,0.004269968,0.014534423,0.001075119
10.5,0.006207294,0.019373261,0.001695849
10.6,0.008724038,0.02516744,0.002568252
10.7,0.011942165,0.032181272,0.003762469
10.8,0.016013375,0.040712105,0.005363806
10.9,0.021104951,0.050915759,0.007474301
11,0.027399452,0.062945003,0.010214247
11.1,0.035093905,0.076944536,0.013723637
11.2,0.044398442,0.093045373,0.018163481
11.3,0.055534316,0.111358732,0.023716913
11.4,0.068731275,0.131969594,0.03059004
11.5,0.084224284,0.154930085,0.039012469
11.6,0.102249574,0.180252902,0.049237426
11.7,0.12304987,0.20800296,0.061542413
11.8,0.146873861,0.238239916,0.076229799
11.9,0.173965394,0.270915327,0.093626339
12,0.204559366,0.305939723,0.114082275
12.1,0.238877573,0.343182063,0.137970033
12.2,0.277124606,0.382470332,0.165682493
12.3,0.319483933,0.423593273,0.197630887
12.4,0.366114251,0.466303179,0.234242312
12.5,0.417146217,0.510319657,0.275956933
12.6,0.472679637,0.555334206,0.323224897
12.7,0.532783579,0.60103942,0.376503255
12.8,0.597496151,0.647125719,0.43625287
12.9,0.666822396,0.693262443,0.50293511
13,0.740734402,0.739120062,0.57700855
13.1,0.819172089,0.784376867,0.658925759
13.2,0.90204462,0.828725316,0.749130221
13.3,0.989232403,0.871877829,0.848053461
13.4,1.080589592,0.913571885,0.95611242
13.5,1.17594702,0.953574281,1.073707122
13.6,1.275115467,0.991684472,1.201218669
13.7,1.377889911,1.027744443,1.33900766
13.8,1.484053029,1.061631182,1.487412963
13.9,1.5933781,1.093250711,1.646750773
14,1.705632555,1.122544546,1.817314028
14.1,1.820581362,1.14948807,1.999372165
14.2,1.937990173,1.174088114,2.193171182
14.3,2.057628159,1.196379854,2.398933998
14.4,2.179270477,1.21642318,2.616861046
14.5,2.302700343,1.234298663,2.84713108
14.6,2.427710669,1.250103265,3.089902147
14.7,2.554104322,1.263936529,3.345312579
14.8,2.681697722,1.275933996,3.613482351
14.9,2.810324676,1.286269542,3.894514819
15,2.939834537,1.29509861,4.188498273
15.1,3.070090066,1.302555291,4.495507279
15.2,3.20096497,1.308749036,4.815603776
15.3,3.332341074,1.313761036,5.148837884
15.4,3.464105105,1.317640313,5.495248394
15.5,3.596145064,1.320399588,5.8548629
15.6,3.728346161,1.322010971,6.227697516
15.7,3.860587098,1.322409373,6.613756226
15.8,3.992746515,1.321594173,7.013030878
15.9,4.124706828,1.319603123,7.425501561
16,4.256351192,1.316443643,7.85113668
16.1,4.387560923,1.312097314,8.289892772
16.2,4.518213424,1.306525006,8.741714114
16.3,4.648180694,1.299672705,9.206532184
16.4,4.777328497,1.291478023,9.684265034
16.5,4.905516233,1.281877363,10.17481666
16.6,5.032597598,1.270813646,10.67807642
16.7,5.158410158,1.258125605,11.19391743
16.8,5.282774897,1.243647389,11.72219492
16.9,5.405509093,1.22734196,12.26274583
17,5.526428837,1.209197441,12.81538872
17.1,5.645352117,1.189232803,13.37992393
17.2,5.762102375,1.167502571,13.95613416
17.3,5.876512403,1.144100289,14.5437854
17.4,5.988428455,1.119160519,15.14262825
17.5,6.097714375,1.092859198,15.75239969
17.6,6.204255604,1.065412294,16.37282525
17.7,6.30796502,1.037094155,17.00362175
17.8,6.408784522,1.008195021,17.6445002
17.9,6.506684963,0.979004408,18.2951687
18,6.601667426,0.949824636,18.95533544
