space_error,speed_error,ego_speed,ego_acceleration,front_speed,front_acceleration,reward
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8.1,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,0
8,0,0,0,0,0,3.3151624458102e-06
8,0,0,0,0,0,2.91253217545227e-05
8,0,0,0,0,0,0.000128597768499164
8,0,0,0,0,0,0.000396833982221009
8.00000165,1.65e-05,0,0,1.65e-05,0.000165286,0.000983768762432631
8.000011,9.33e-05,0,0,9.33e-05,0.000767435,0.00210658594170383
8.000041,0.000300209,0,0,0.000300209,0.002069366,0.00405760903646488
8.000115324,0.000743228,0,0,0.000743228,0.004430191,0.00719791218268321
8.000272643,0.001573193,0,0,0.001573193,0.008299648,0.0119330936141192
8.000571849,0.002992058,0,0,0.002992058,0.014188652,0.0186757533148313
8.001097191,0.00525342,0,0,0.00525342,0.022613618,0.0278279470127555
8.001962737,0.008655463,0,0,0.008655463,0.034020436,0.0398235962225793
8.003315311,0.013525741,0,0,0.013525741,0.048702773,0.0551566126264636
8.005335234,0.020199227,0,0,0.020199227,0.066734869,0.0743085754161868
8.008244343,0.029091087,0,0,0.029091087,0.0889186,0.0976420338631685
8.012316446,0.040721032,0,0,0.040721032,0.116299451,0.125565810687145
8.017883635,0.055671896,0,0,0.055671896,0.149508635,0.159241694302174
8.025345253,0.074616173,0,0,0.074616173,0.189442766,0.201935350328993
8.035179341,0.098340883,0,0,0.098340883,0.237247106,0.256270192578417
8.047954901,0.127755601,0,0,0.127755601,0.294147183,0.318332750669593
8.064341642,0.163867413,0,0,0.163867413,0.361118113,0.38510162396589
8.085112794,0.207711512,0,0,0.207711512,0.438440995,0.456519793749275
8.111136466,0.26023672,0,0,0.26023672,0.525252073,0.535618256072646
8.143352312,0.322158462,0,0,0.322158462,0.61921742,0.624379221206136
8.182741464,0.393891521,0,0,0.393891521,0.71733059,0.718276299696409
8.230290281,0.475488172,0,0,0.475488172,0.815966518,0.814226339151659
8.286946521,0.566562396,0,0,0.566562396,0.910742232,0.905902623909068
8.353579182,0.666326618,0,0,0.666326618,0.997642222,0.967862967358436
8.430948308,0.773691254,0,0,0.773691254,1.073646359,1.02941513984253
8.519688336,0.887400285,0,0,0.887400285,1.137090316,1.09470321944022
8.620304985,1.00616649,0,0,1.00616649,1.187662046,1.16155019360226
8.733182117,1.128771313,0,0,1.128771313,1.226048229,1.22234830235026
8.858592732,1.254106151,0,0,1.254106151,1.253348386,1.25444284834733
8.996707712,1.381149805,0,0,1.381149805,1.270436537,1.1512639318596
9.147600274,1.508925615,0,0,1.508925615,1.277758101,1.07213011393099
9.31124802,1.636477461,0,0,1.636477461,1.275518454,1.00472766001967
9.48753529134504,1.75909387323348,0.00373263976651849,0.0898082323773875,1.762826513,1.263490522,0.932003261794869
9.6767631777394,1.86344802616154,0.0234968898384599,0.389517052256413,1.886944916,1.241184033,0.851666980743587
9.8824977211035,1.91247386662576,0.0953068723742429,0.666399821695936,2.007780739,1.208358224,0.771762063477254
10.1004537798666,1.98836996567131,0.135952450328686,0.675433808073312,2.124322416,1.165416773,0.691644029421355
10.3442966617212,2.01314670190718,0.222533329092815,0.655453274334405,2.235680031,1.113576151,0.611210398707983
10.5939863064615,2.07676688553921,0.264390557460791,0.522726811321745,2.341157443,1.054774123,0.530961820623705
10.7650458423562,2.14004825547489,0.300245816525109,0.280523575480991,2.440294072,0.991366289,0.450111230799069
11.058810342091,2.17428307624717,0.358582761752829,0.557542513080119,2.532865838,0.925717663,0.368175149919882
11.1574150190667,2.20293915830957,0.415906553690432,0.600625492103121,2.618845712,0.859798739,0.311241981672082
11.4520185833715,2.23922393314663,0.459145152853368,0.620555552321207,2.698369086,0.795233732,0.252129407447313
11.780356525505,2.25118440000262,0.520510240997378,0.608971307586901,2.771694641,0.73325555,0.191419342769519
11.9342933733554,2.2347143141125,0.604431210887497,0.585839262852491,2.839145525,0.674508844,0.131980621365978
12.0851192788649,2.24522147543532,0.655851690564679,0.553162518924805,2.901073166,0.619276411,0.0637414780986202
12.4200735913926,2.264105414133,0.693736749867005,0.532330614764894,2.957842164,0.567689978,0.0492932053222133
12.620021593572,2.24826289790271,0.761565628097288,0.51459955247448,3.009828526,0.519863617,0.046447471243929
12.8026638765144,2.24625465050098,0.811166365499023,0.485635104810277,3.057421016,0.475924904,0.0454028172588796
12.9945831209992,2.24286718305033,0.858149793949674,0.45187624839615,3.101016977,0.435959613,0.0439053064851261
13.3863307388673,2.24306668360521,0.897941755394789,0.436187750587183,3.141008439,0.399914616,0.0415878950133
13.5944837461199,2.23676351196678,0.940984754033222,0.421520688310409,3.177748266,0.367398275,0.0510053362757626
